"cây","𣘃","tree, plant",2,14,256,"23603","standard"
"cây số","𣘃数","milestone; kilometer",4,,2247
"cây viết","𣘃曰","pen",0,,
"còn","群","still; remaining; besides, also",1,13,36,"7FA4","standard"
"còn lại","群吏","to remain; remaining, other",3,,861
"có","固","there is; to have; sure, of course",1,8,5,"56FA","standard"
"có chồng","固𫯳","to be married (woman)",0,,4615
"có khi","固欺","sometimes; perhaps, maybe",4,,1563
"có lý","固理","right, reasonable; sensible",0,,
"có quyền","固权","to have the right to",0,,
"có thể","固体","possibly, maybe; may, can",1,,72
"có tuổi","固歲","advanced in years, aged",0,,3797
"có vẻ","固𨤔","to seem, to look, to appear",4,,1290
"có điều","固条","except, just, only that...",4,,1742
"cô","姑","Ms., young woman; father's sister; husband's mother",1,8,56,"59D1","standard"
"cô giáo","姑教","woman teacher, schoolmistress",0,,
"cô nàng","姑娘","gal, girl",0,,
"công","功","[achievement]",3,5,121,"529F","standard"
"công","工","work; labour",2,3,121,"5DE5","standard"
"công","公","public; common",3,4,121,"516C","standard"
"công an","公安","police; policeman",4,,1347
"công bố","公佈","to publish, to proclaim",3,,783
"công nghiệp","工業","industry",4,,2494
"công nghệ","工芸","craft, industry",4,,1842
"công nhân","工人","worker; blue-collar worker",4,,1640
"công nhận","公認","to recognize, to accept, to accredit",4,,1230
"công thức","公式","formula",0,,4624
"công ty","公司","company, corporation",0,,
"công tác","工作","mission; business",4,,1011
"công việc","工役","work; employment",0,,
"công xã","公社","commune",0,,
"cõi","𡎝","world; country, region",4,12,2152,"2139D","standard"
"cùng","共","all, total; together with",2,6,85,"5171","standard"
"cũ","𫇰","old; ancient; second-hand",3,9,431,"2B1F0","standard"
"cũng","拱","also; too",1,9,20,"62F1","standard"
"cơ","机","opportunity; [machine, engine]",3,16,632,"6A5F","standard"
"cơ","基","[foundation, base]",3,11,632,"57FA","standard"
"cơ bản","基本","base, foundation; basic, fundamental",4,,2367
"cơ hội","机会","opportunity, occasion, chance",3,,686
"cơ quan","机関","organ (of an organization)",3,,601
"cơ thể","机体","organism; (human) body",4,,1181
"cơm","粓","(cooked) rice",3,11,937,"7C93","standard"
"cơm tấm","粓糝","broken rice with meat and vegetables (dish)",0,,
"cơm đen","粓黰","opium (colloquial)",0,,
"cười","唭","to laugh; to smile",3,11,451,"552D","standard"
"cạnh","競","[to compete]",4,20,1707,"7AF6","standard"
"cạnh tranh","競爭","to compete",4,,2582
"cả","哿","all; in total; completely",2,10,84,"54FF","standard"
"cải","改","to change, to alter, to reform, to correct",0,7,4212,"6539","standard"
"cải cách","改革","to reform, to innovate",0,,3505
"cải tổ","改組","to reorganize",0,,
"cảm","感","[to feel]",3,13,789,"611F","standard"
"cảm nghĩ","感𢪀","feelings, impressions, sentiment",0,,
"cảm thương","感傷","to feel pity for",0,,
"cảm thấy","感𧡊","to feel",3,,696
"cảm tưởng","感想","impression",0,,4611
"cảm ơn","感恩","thanks, thank you",4,,1503
"cảnh","景","scene, scenery; landscape",3,12,507,"666F","standard"
